Usuario,Caso,Marcador,Tarjeta,Fecha y hora de transacci—n,Monto,Comercio,Modo de Entrada,Ind Com Elec
999agsa,162358931,NF,1234567890112138,02/11/21 01:51 PM,15,TELCEL RECARGAS FONY,K,
999agsa,162358931,NF,1234567890112139,02/11/21 01:51 PM,15,PAYU LA*TELCELFY2,K,
999agsa,162358931,NF,1234567890112140,02/11/21 01:52 PM,15,TELCEL RECARGAS FONY,K,
999agsa,162358931,NF,1234567890112141,02/11/21 01:52 PM,15,PAYU LA*TELCELFY2,K,
999agsa,162358931,NF,1234567890112142,02/11/21 01:54 PM,15,TELCEL RECARGAS FONY,K,
999agsa,162358931,NF,1234567890112155,02/11/21 01:54 PM,15,PAYU LA*TELCELFY2,K,
999agsa,162358931,NF,1234567890112158,02/11/21 01:55 PM,20,TELCEL RECARGAS FONY,K,
999agsa,162358931,NF,1234567890112134,02/11/21 01:55 PM,20,PAYU LA*TELCELFY2,K,
999agsa,162358931,NF,1234567890112130,04/11/21 12:30 PM,15,TELCEL RECARGAS FONY,K,
999agsa,162359905,NF,1234567890112135,04/11/21 12:59 PM,40000,MERCADO PAGO 5,E,7
999agsa,162360061,NF,1234567890112136,04/11/21 01:03 PM,20,AME*UBER I,E,7
999agsa,162360459,NF,1234567890112137,04/11/21 01:15 PM,2566.36,AMAZON MX MARKETPLACE,E,7
999agsa,162360459,NF,1234567890112138,04/11/21 01:18 PM,1621.29,AMAZON MX MARKETPLACE,E,7
999agsa,162360669,NF,1234567890112139,03/11/21 03:39 PM,50,VS TELCEL 018001200006,E,7
999agsa,162360669,NF,1234567890112140,04/11/21 01:21 PM,237,CFE CONTIGO MU,K,0
999agsa,162360843,NF,1234567890112141,01/11/21 11:24 AM,5625.48,SAMS S JUAN RIO MEMB,V,
999agsa,162360843,NF,1234567890112142,03/11/21 03:42 PM,721.5,FAR GUAD 2024,V,
999agsa,162360843,NF,1234567890112155,04/11/21 09:53 AM,1262.61,SQ *KRODIK WEB SERVICE,E,7
999agsa,162360843,NF,1234567890112158,04/11/21 09:56 AM,548.4,SQ *KRODIK WEB SERVICE,E,7
999agsa,162360843,NF,1234567890112134,04/11/21 01:26 PM,6837.68,Madeira USA LLC,E,7
999agsa,162361197,NF,1234567890112130,04/11/21 10:12 AM,297,ROOSTER SUNYAXCHEN,V,
999agsa,162361197,NF,1234567890112135,04/11/21 01:35 PM,6307.43,PAYPAL3,K,
999agsa,162361415,NF,1234567890112136,04/11/21 07:14 AM,1249,SERVICIO HERMANOS SILV,V,
999agsa,162361415,NF,1234567890112137,04/11/21 01:40 PM,1007.42,VS TELCEL 018001200006,E,7
999agsa,162361415,NF,1234567890112138,04/11/21 01:41 PM,964.52,VS TELCEL 018001200006,E,7
999agsa,162361415,NF,1234567890112139,04/11/21 01:42 PM,808.94,VS TELCEL 018001200006,E,7
999agsa,162361415,NF,1234567890112140,04/11/21 01:44 PM,498.99,VS TELCEL 018001200006,E,7
999agsa,162361597,NF,1234567890112141,04/11/21 12:27 PM,104,PAYPAL *UBERBV EATS,E,7
999agsa,162361597,NF,1234567890112142,04/11/21 01:48 PM,5.2,PAYPAL3,K,
999agsa,162360877,NF,1234567890112155,04/11/21 01:24 PM,14940,CARNICERIA OCOTAL ALMA,V,0
999agsa,162360877,NF,1234567890112158,04/11/21 01:24 PM,5000,CARNICERIA OCOTAL ALMA,V,0
999agsa,162360877,NF,1234567890112134,04/11/21 01:25 PM,5000,CARNICERIA OCOTAL ALMA,V,0
999agsa,162360877,NF,1234567890112130,04/11/21 01:26 PM,4940,CARNICERIA OCOTAL ALMA,V,0
999agsa,162361989,NF,1234567890112135,04/11/21 01:58 PM,1476.3,OFFICE MAX B2C CIB 2,E,7
999agsa,162362081,NF,1234567890112136,04/11/21 02:01 PM,15,TELCEL RECARGAS FONY,E,7
999agsa,162362081,NF,1234567890112137,04/11/21 02:05 PM,15,TELCEL RECARGAS FONY,K,
999agsa,162362081,NF,1234567890112138,04/11/21 02:06 PM,15,TELCEL RECARGAS FONY,E,7
999agsa,162362081,NF,1234567890112134,04/11/21 02:07 PM,100,TELCEL RECARGAS FONY,K,
999agsa,162362943,NF,1234567890112130,02/11/21 03:51 PM,1530.74,VS TELCEL 018001200006,E,7
999agsa,162362943,NF,1234567890112135,02/11/21 04:12 PM,549,VS TELCEL 018001200006,E,7
999agsa,162362943,NF,1234567890112136,02/11/21 04:21 PM,30,AME*SPOTIFY I,E,7
999agsa,162362943,NF,1234567890112137,02/11/21 06:16 PM,1188,IZZI CDMX SUC 1,V,0
999agsa,162362943,NF,1234567890112138,04/11/21 02:26 PM,20,AMAZON MX,E,7
999agsa,162362997,NF,1234567890112134,04/11/21 02:19 PM,99,AMAZON MX,E,7
999agsa,162363725,NF,1234567890112130,02/11/21 09:19 AM,1530.74,BANAMEX,V,
999agsa,162363725,NF,1234567890112135,04/11/21 02:46 PM,10,AME*DIDI FOOD V,E,7
999agsa,162363391,NF,1234567890112136,04/11/21 02:35 PM,645.75,CLIP MX*UNISSAN ARTICU,V,
999agsa,162363391,NF,1234567890112137,04/11/21 02:36 PM,645.75,CLIP MX*UNISSAN ARTICU,V,
999agsa,162363391,NF,1234567890112138,04/11/21 02:37 PM,645.75,CLIP MX*UNISSAN ARTICU,V,
999agsa,162364031,NF,1234567890112139,04/11/21 02:55 PM,8538,CFE CONTIGO MU,K,0
999agsa,162364079,NF,1234567890112140,04/11/21 02:56 PM,2320,PAYPAL *FS COM,E,7
999agsa,162364251,NF,1234567890112141,04/11/21 03:01 PM,94.27,WHOLEFDS HIL 10072,V,
999agsa,162364553,NF,1234567890112142,04/11/21 03:09 PM,265.64,AKKY,E,7
999agsa,162364553,NF,1234567890112155,04/11/21 03:09 PM,1,AKKY ONLINE OP,E,7
999agsa,162364675,NF,1234567890112158,04/11/21 03:12 PM,3092,CFE CONTIGO MU,K,0
999agsa,162364889,NF,1234567890112134,04/11/21 03:13 PM,3590,MERCADO PAGO 1,E,7
999agsa,162364827,NF,1234567890112130,03/11/21 12:48 PM,549,VS TELCEL 018001200006,K,1
999agsa,162364827,NF,1234567890112135,04/11/21 09:34 AM,518,HOME DEPOT CUMBRE,V,
999agsa,162364827,NF,1234567890112136,04/11/21 12:21 PM,5919.48,FUSIBLES MONTERREY,V,0
999agsa,162364827,NF,1234567890112137,04/11/21 02:26 PM,1039.41,HOME DEPOT CUMBRE,V,
999agsa,162364827,NF,1234567890112138,04/11/21 03:17 PM,12688.63,PREMIER FARNELL,E,7
999agsa,162311179,NF,1234567890112137,02/11/21 09:12 PM,348.99,TELCEL 8MPS ECOM,E,6
999agsa,162311179,NF,1234567890112138,04/11/21 03:26 PM,100,OXXOXCANATUN MID,V,
999agsa,162365215,NF,1234567890112139,03/11/21 07:46 AM,50,MERCADO PAGO 1,E,7
999agsa,162365215,NF,1234567890112140,04/11/21 03:26 PM,200,MERCADO PAGO 1,E,7
999agsa,162365215,NF,1234567890112141,04/11/21 03:29 PM,200,MERCADO PAGO 1,E,7
999agsa,162365341,NF,1234567890112142,04/11/21 03:30 PM,50000,GOOGLE *ADS1581608997,E,7
999agsa,162365511,NF,1234567890112155,04/11/21 03:34 PM,792.87,PR ADOBE CR,K,
999agsa,162365553,NF,1234567890112137,04/11/21 03:36 PM,0,UNIVERSAL STDSVAC REG,E,7
999agsa,162365553,NF,1234567890112138,04/11/21 03:36 PM,15418.61,UNIVERSAL STDSVAC REG,E,7
999agsa,162367585,NF,1234567890112139,04/11/21 04:34 PM,2846,AME*H & M II,E,6
999agsa,162367715,NF,1234567890112140,04/11/21 04:37 PM,3656.16,TRAVELPERK/ID 2834225,,2
999agsa,162367925,NF,1234567890112141,04/11/21 04:42 PM,11625.06,WDW TICKETS-ONLINE,E,7
999agsa,162368687,NF,1234567890112142,04/11/21 04:18 PM,174,AMAZON MX MARKETPLACE,E,7
999agsa,162368687,NF,1234567890112155,04/11/21 05:03 PM,266.06,AMAZON MX MARKETPLACE,E,7
999agsa,162368687,NF,1234567890112158,04/11/21 05:03 PM,981.55,AMAZON MX MARKETPLACE,E,7
999agsa,162368751,NF,1234567890112137,04/11/21 05:04 PM,534.93,THE TIMBERLAND COMPANY,V,
999agsa,162369853,NF,1234567890112138,04/11/21 05:35 PM,20,AMAZON MX,E,7
999agsa,162370127,NF,1234567890112139,04/11/21 05:43 PM,12,PAYPAL1,K,1
999agsa,162370161,CNF,1234567890112140,04/11/21 05:44 PM,54,FERR TORRES,V,0
999agsa,162369897,NF,1234567890112141,03/11/21 01:16 PM,4200,POINTMP*LENTESGALILEO,V,0
999agsa,162369897,NF,1234567890112142,04/11/21 05:36 PM,354.2,REST PROMENADE,V,0
999agsa,162370387,NF,1234567890112155,04/11/21 05:52 PM,5999,MERCADO PAGO 1,E,7
999agsa,162370451,NF,1234567890112158,03/11/21 06:13 PM,4127.26,AME*RAPPI V,K,
999agsa,162370451,NF,1234567890112137,04/11/21 05:54 PM,277.2,AMAZON MX,E,7
999agsa,162370551,NF,1234567890112138,04/11/21 12:04 PM,159.98,D LOCAL *GODADDY,K,
999agsa,162370551,NF,1234567890112139,04/11/21 05:55 PM,0,AIRBNB INC,E,7
999agsa,162370551,NF,1234567890112140,04/11/21 05:56 PM,3909.97,AIRBNB * HMPXN5T4JF,E,7
999agsa,162370741,NF,1234567890112141,04/11/21 12:37 PM,112.83,CONEKTA*CABIFY,E,7
999agsa,162370741,NF,1234567890112142,04/11/21 06:00 PM,20,AME*MICROSOFT I,E,7
999agsa,162370741,NF,1234567890112155,04/11/21 06:01 PM,159,TRANSACCION MICROSOFT,K,
999agsa,162370713,NF,1234567890112158,02/11/21 02:30 PM,800,EST SERV JOROBAS 2,V,
999agsa,162370713,NF,1234567890112137,04/11/21 12:49 PM,333.8,DHL CTO URBANO IZCALLI,V,
999agsa,162370713,NF,1234567890112138,04/11/21 05:59 PM,774,LLANT Y SERV ARCA 2,V,0
999agsa,162370787,NF,1234567890112139,01/11/21 01:07 PM,109.98,ST*UBER,K,0
999agsa,162370787,NF,1234567890112140,01/11/21 01:50 PM,138.48,ST*UBER,K,0
999agsa,162370787,NF,1234567890112141,04/11/21 06:01 PM,12453.33,DISTRIBUIDORA SANTIAGO,E,7
999agsa,162370809,NF,1234567890112142,04/11/21 06:02 PM,20,AME*UBER I,E,7
999agsa,162370809,NF,1234567890112155,04/11/21 06:02 PM,20,GOOGLE *TEMPORARY HOLD,E,7
999agsa,162370877,NF,1234567890112158,04/11/21 06:05 PM,9043.4,PAYPAL3,K,
999agsa,162371187,NF,1234567890112134,04/11/21 06:12 PM,39,AMAZON MX,E,7
999agsa,162371245,NF,1234567890112130,04/11/21 06:15 PM,682.19,KEDAI MAKAN,U,
999agsa,162371239,NF,1234567890112135,01/11/21 01:14 PM,200,VS TELCEL 018001200006,E,7
999agsa,162371239,NF,1234567890112136,01/11/21 01:17 PM,200,VS TELCEL 018001200006,E,7
999agsa,162371239,NF,1234567890112137,04/11/21 06:14 PM,149,D LOCAL*CANVA,K,
999agsa,162371239,NF,1234567890112138,04/11/21 06:14 PM,149,OP*OPENPAY,K,
999agsa,162371265,CNF,1234567890112139,04/11/21 06:16 PM,8130.56,PLAN SEGURO CR,K,
999agsa,162371233,NF,1234567890112140,04/11/21 06:14 PM,885,1&1 IONOS Inc.,E,7
999agsa,162371617,NF,1234567890112141,04/11/21 06:24 PM,377.96,AMAZON MX MARKETPLACE,E,7
999agsa,162372323,NF,1234567890112142,04/11/21 06:44 PM,6922.17,BESTBUY.COM,E,6
999agsa,162372545,NF,1234567890112155,04/11/21 06:50 PM,286.51,PRUDENTE DE MORAIS,V,
999agsa,162372211,NF,1234567890112158,04/11/21 06:40 PM,251.62,AMAZON MX,E,7
999agsa,162372225,NF,1234567890112134,04/11/21 06:41 PM,910,MERCADO PAGO 1,E,7
999agsa,162372317,NF,1234567890112130,04/11/21 06:44 PM,1619,MERCADO PAGO 1,E,7
999agsa,162372341,NF,1234567890112135,04/11/21 06:45 PM,12,PAYPAL1,K,1
999agsa,162372341,NF,1234567890112136,04/11/21 06:45 PM,249.96,PAYPAL *EBAY US,E,7
999agsa,162373231,NF,1234567890112137,01/11/21 10:00 AM,54.91,ST*UBER,K,0
999agsa,162373231,NF,1234567890112138,03/11/21 07:00 AM,244.4,ST*UBER,K,0
999agsa,162373231,NF,1234567890112139,03/11/21 07:56 AM,250.13,ST*UBER,K,0
999agsa,162373231,NF,1234567890112140,03/11/21 07:18 PM,242.6,ST*UBER EATS,K,0
999agsa,162373231,NF,1234567890112141,04/11/21 06:56 PM,211,AME*DIDI FOOD E,E,7
999agsa,162373325,NF,1234567890112142,02/11/21 01:47 PM,294.75,HostpapaInc,E,7
999agsa,162373325,NF,1234567890112155,04/11/21 07:13 PM,1000,PAYPAL3,K,
999agsa,162373343,NF,1234567890112158,04/11/21 07:11 PM,13500,MERCADO PAGO 1,E,7
999agsa,162373513,NF,1234567890112134,04/11/21 07:16 PM,0,UBER TECHNOLOGIES INC,E,7
999agsa,162373679,NF,1234567890112130,04/11/21 07:19 PM,14581.32,PAYPAL *1293390745,E,7
999agsa,162373679,NF,1234567890112135,04/11/21 07:19 PM,14581.32,PAYPAL *1293390745,E,7
999agsa,162373679,NF,1234567890112136,04/11/21 07:22 PM,13956.4,PAYPAL *1293390745,E,7
999agsa,162374727,NF,1234567890112137,04/11/21 07:52 PM,20,AME*UBER I,E,7
999agsa,162375601,NF,1234567890112138,01/11/21 11:49 AM,99.95,PAYPAL *UBER BV,E,7
999agsa,162375601,NF,1234567890112139,01/11/21 12:28 PM,99.95,PAYPAL *UBER BV,E,7
999agsa,162375601,NF,1234567890112140,01/11/21 07:08 PM,639.98,PAYPAL *UBER BV,E,7
999agsa,162375601,NF,1234567890112141,03/11/21 03:43 AM,89.96,PAYPAL *UBER BV,E,7
999agsa,162375601,NF,1234567890112142,04/11/21 08:15 PM,6207.48,PAYPAL *WISDMLABS,E,7
999agsa,162376063,NF,1234567890112155,04/11/21 08:30 PM,41540,Farfetch,E,7
999agsa,162376063,NF,1234567890112158,04/11/21 08:30 PM,41540,AME*FARFETCH,E,6
999agsa,162376373,NF,1234567890112134,04/11/21 08:38 PM,7639.53,TPI by Booking.com,E,7
999agsa,162376271,NF,1234567890112130,04/11/21 08:36 PM,10561.04,STYLE MELODY INC.,E,7
999agsa,162376463,NF,1234567890112135,04/11/21 08:40 PM,1960.88,D LOCAL*ESWNIKE,E,7
999agsa,162376697,NF,1234567890112136,04/11/21 08:49 PM,12,PAYPAL1,K,1
999agsa,162376915,NF,1234567890112137,04/11/21 08:57 PM,25,APPLE.COM/BILL,E,7
999agsa,162376921,NF,1234567890112138,03/11/21 04:50 PM,14100,NETPAY*ASTROLLANTAS,V,
999agsa,162376921,NF,1234567890112139,04/11/21 07:44 AM,1472.92,GASOL SERV MIRLO 2,V,0
999agsa,162376921,NF,1234567890112140,04/11/21 08:57 PM,20,AMAZON MX,E,7
999agsa,162370161,CNF,1234567890112141,04/11/21 07:50 PM,1,EAGLE CARS,V,
999rdca,162343695,NF,1234567890112142,03/11/21 09:08 PM,1000,BP*SALA PLAZA DEL RIO,V,
999rdca,162343695,NF,1234567890112155,03/11/21 09:08 PM,1000,BP*SALA PLAZA DEL RIO,V,
999rdca,162343695,NF,1234567890112158,03/11/21 09:41 PM,1000,BP*ENT JUEGOS,V,
999rdca,162361935,NF,1234567890112134,04/11/21 01:57 PM,678.99,AMAZON MX MARKETPLACE,E,7
999rdca,162362271,NF,1234567890112130,04/11/21 01:43 PM,2000,MERCADO PAGO 5,E,7
999rdca,162362271,NF,1234567890112135,04/11/21 02:07 PM,20000,MERCADO PAGO 5,E,7
999rdca,162359567,NF,1234567890112136,04/11/21 12:49 PM,0,AIRBNB INC,E,7
999rdca,162359567,NF,1234567890112137,04/11/21 12:50 PM,8431.55,AIRBNB * HMTNJHPMST,E,7
999rdca,162359635,NF,1234567890112138,02/11/21 08:00 PM,3067.97,SAMS LOMAS VERDES,V,
999rdca,162359635,NF,1234567890112139,02/11/21 08:29 PM,599,WALMART LOMAS VERDES,V,
999rdca,162359635,NF,1234567890112140,04/11/21 10:32 AM,8321.75,DIREMACO,V,0
999rdca,162359635,NF,1234567890112141,04/11/21 11:52 AM,10697.65,NOVEDADES PLASTICAS,V,
999rdca,162359635,NF,1234567890112142,04/11/21 12:50 PM,9065.84,VENCORT,V,0
999rdca,162359635,NF,1234567890112155,04/11/21 12:51 PM,25000,VENCORT,V,0
999rdca,162359635,NF,1234567890112158,04/11/21 12:52 PM,13498.5,VENCORT,V,0
999rdca,162359635,NF,1234567890112134,04/11/21 01:23 PM,3624.11,DIST VENCORT ADOLFO G,V,
999rdca,162359961,NF,1234567890112130,04/11/21 01:01 PM,0,AMAZON.COM,E,7
999rdca,162359961,NF,1234567890112135,04/11/21 01:27 PM,19129.2,AMZN Mktp US,E,7
999rdca,162360023,NF,1234567890112136,04/11/21 01:02 PM,16492.46,SPECTRO - UV,K,1
999rdca,162360763,NF,1234567890112137,04/11/21 01:23 PM,460.99,AMAZON MX MARKETPLACE,E,7
999rdca,162361755,NF,1234567890112138,04/11/21 01:54 PM,1458,AME*RESRBUS S,E,6
999rdca,162363791,NF,1234567890112139,04/11/21 02:49 PM,10485,PAYPAL3,K,
999rdca,162364029,NF,1234567890112140,04/11/21 02:54 PM,949,PAYPAL3,K,
999rdca,162364717,NF,1234567890112141,04/11/21 03:13 PM,1,IZZI APP PAGO 3,E,6
999rdca,162364717,NF,1234567890112142,04/11/21 03:13 PM,1289,IZZI APP PAGO,K,0
999rdca,162323843,NF,1234567890112155,01/11/21 11:01 AM,5532.1,GOOGLE*GSUITE CAFFE.OR,E,7
999rdca,162323843,NF,1234567890112158,02/11/21 11:06 AM,5621.04,GOOGLE  GSUITE_caffe.o,,2
999rdca,162323843,NF,1234567890112134,03/11/21 11:31 AM,357,MERCADO PAGO 4,E,7
999rdca,162323843,NF,1234567890112130,04/11/21 03:18 PM,0,GRUPO.HOST,E,7
999rdca,162323843,NF,1234567890112135,04/11/21 03:19 PM,631.31,GRUPO.HOST* HOST - INT,E,7
999rdca,162365097,NF,1234567890112136,04/11/21 03:21 PM,50000,CLIP MX*SHOJI,V,
999rdca,162365097,NF,1234567890112137,04/11/21 03:21 PM,50000,CLIP MX*SHOJI,V,
999rdca,162365097,NF,1234567890112138,04/11/21 03:23 PM,49000,CLIP MX*SHOJI,V,
999rdca,162365097,NF,1234567890112139,04/11/21 03:24 PM,49500,CLIP MX*SHOJI,V,
999rdca,162365097,NF,1234567890112140,04/11/21 03:25 PM,48000,CLIP MX*SHOJI,V,
999rdca,162365837,NF,1234567890112141,04/11/21 03:42 PM,635.56,ST*CORNERSHOP,E,7
999rdca,162366031,NF,1234567890112142,04/11/21 03:51 PM,329,OP*OPENPAY PAGOSEGURO,E,6
999rdca,162366021,NF,1234567890112155,04/11/21 03:51 PM,10,DIDI MX,E,7
999rdca,162366067,NF,1234567890112158,04/11/21 03:54 PM,5000,PAYU LA*GOOGLE MX CR,K,
999rdca,162365625,NF,1234567890112134,04/11/21 03:38 PM,14300.23,SORIANA E COMMERCE CIB,E,7
999rdca,162366115,NF,1234567890112130,04/11/21 03:38 PM,314.1,MERCADO PAGO 4,E,7
999rdca,162366323,NF,1234567890112135,04/11/21 10:30 AM,501.25,SYSCOM,K,1
999rdca,162366323,NF,1234567890112136,04/11/21 04:01 PM,501.25,SYSCOM,K,1
999rdca,162366323,NF,1234567890112137,04/11/21 04:03 PM,26608.98,SYSCOM,K,1
999rdca,162366883,NF,1234567890112138,04/11/21 04:14 PM,7785,MERCADO PAGO 4,E,7
999rdca,162366981,NF,1234567890112134,04/11/21 04:18 PM,5000,FACEBK *J6GK8878W2,E,7
999rdca,162366983,NF,1234567890112130,04/11/21 04:18 PM,10,AME*DIDI II,E,7
999rdca,162366983,NF,1234567890112135,04/11/21 04:18 PM,10,DIDI MX,E,7
999rdca,162366983,NF,1234567890112136,04/11/21 04:18 PM,10,DIDI MX,E,7
999rdca,162366983,NF,1234567890112137,04/11/21 04:21 PM,106.9,D LOCAL*DIDI MOBILITY,E,7
999rdca,162367039,NF,1234567890112138,04/11/21 04:20 PM,20,AME*UBER I,E,7
999rdca,162367039,NF,1234567890112134,04/11/21 04:21 PM,296.6,ST*UBER EATS,K,0
999rdca,162367041,NF,1234567890112130,03/11/21 01:19 PM,25731.89,COSTCO WHSE #0578,V,
999rdca,162367041,NF,1234567890112135,04/11/21 04:20 PM,416.6,ARCO #42889 AMPM,V,
999rdca,162367041,NF,1234567890112136,04/11/21 04:20 PM,1249.82,ARCO #42889 AMPM,V,
999rdca,162367259,NF,1234567890112137,04/11/21 07:24 AM,610.26,SHOPIFY* 124360170,,2
999rdca,162367259,NF,1234567890112138,04/11/21 03:40 PM,36.47,ST*UBER,K,0
999rdca,162367259,NF,1234567890112139,04/11/21 04:26 PM,10,ST*UBER,E,7
999rdca,162367337,NF,1234567890112140,04/11/21 04:14 PM,2729,AMAZON MX MARKETPLACE,E,7
999rdca,162367337,NF,1234567890112141,04/11/21 04:14 PM,2729,AMAZON MX MARKETPLACE,E,7
999rdca,162367489,NF,1234567890112142,02/11/21 09:09 AM,2000,FACEBK *Q44DU7T532,E,7
999rdca,162367489,NF,1234567890112155,02/11/21 12:21 PM,2000,FACEBK *A6DXR67632,E,7
999rdca,162367489,NF,1234567890112158,02/11/21 05:09 PM,2000,FACEBK *CRP297P532,E,7
999rdca,162367489,NF,1234567890112134,02/11/21 09:44 PM,2000,FACEBK *74Y9S67632,E,7
999rdca,162367489,NF,1234567890112130,03/11/21 09:25 AM,2000,FACEBK *3XVYE7F532,E,7
999sgna,162367489,NF,1234567890112135,03/11/21 03:57 PM,2000,FACEBK *VYDCN67532,E,7
999rdca,162367489,NF,1234567890112136,03/11/21 09:41 PM,2000,FACEBK *2AAFF7F532,E,7
999rdca,162367489,NF,1234567890112137,04/11/21 08:42 AM,2000,FACEBK *2GNXN67532,E,7
999rdca,162367489,NF,1234567890112138,04/11/21 01:42 PM,2000,FACEBK *CZKQA7P532,E,7
999rdca,162367489,NF,1234567890112137,04/11/21 04:30 PM,22173,CFE SUM SERV BAS MU,E,6
999rdca,162368633,NF,1234567890112138,03/11/21 10:21 AM,1880.5,FARM SAN PABLO VERTIZ,V,
999rdca,162368633,NF,1234567890112139,03/11/21 10:24 AM,45,FARM SAN PABLO VERTIZ,V,
999rdca,162368633,NF,1234567890112140,04/11/21 05:00 PM,38500,IZETTLE*TDA ABARROTES,V,0
999rdca,162368633,NF,1234567890112141,04/11/21 05:01 PM,42700,IZETTLE*TDA ABARROTES,V,0
999rdca,162369383,NF,1234567890112142,04/11/21 05:22 PM,417.6,SERV ASPEL COM,E,6
999rdca,162369613,NF,1234567890112155,04/11/21 05:28 PM,79,CONEKTA*DESTACAMEMX,E,7
999rdca,162369613,NF,1234567890112137,04/11/21 05:28 PM,79,PAGOCONEKTA,E,7
999rdca,162369613,NF,1234567890112138,04/11/21 05:28 PM,79,PAGOCON*DESTACAME,K,
999rdca,162369613,NF,1234567890112139,04/11/21 05:28 PM,79,CONEKTA*GIRO AGREGADOR,E,7
999rdca,162369179,NF,1234567890112140,04/11/21 05:15 PM,0,AIRBNB INC,E,7
999rdca,162369179,NF,1234567890112141,04/11/21 05:16 PM,6849.5,AIRBNB * HMCWYSS9MM,E,7
999rdca,162369739,NF,1234567890112142,04/11/21 05:31 PM,11367.48,AMAZON MX MARKETPLACE,E,7
999rdca,162369739,NF,1234567890112155,04/11/21 05:32 PM,5691.12,AMAZON MX MARKETPLACE,E,7
999rdca,162369739,NF,1234567890112158,04/11/21 05:32 PM,11367.48,AMAZON MX MARKETPLACE,E,7
999rdca,162369787,NF,1234567890112137,04/11/21 03:27 PM,35.29,ST*UBER,K,0
999rdca,162369787,NF,1234567890112138,04/11/21 03:59 PM,134.5,ST*UBER EATS,K,0
999rdca,162369787,NF,1234567890112139,04/11/21 05:33 PM,10.27,ST*UBER EATS,E,7
999rdca,162370155,NF,1234567890112140,04/11/21 05:44 PM,20,AMAZON MX,E,7
999rdca,162370155,NF,1234567890112141,04/11/21 05:50 PM,670.28,AMAZON MX MARKETPLACE,E,7
999rdca,162369799,NF,1234567890112142,04/11/21 05:34 PM,1,IZZI APP PAGO 3,E,6
999rdca,162369799,NF,1234567890112155,04/11/21 05:34 PM,660,IZZI APP PAGO,K,0
999rdca,162369927,NF,1234567890112158,04/11/21 01:25 PM,149,GOOGLE *King,E,7
999rdca,162369927,NF,1234567890112137,04/11/21 05:38 PM,10,PYPL   *UNDOSTRES,K,
999rdca,162370203,NF,1234567890112138,04/11/21 05:44 PM,472,AMAZON MX,E,7
999rdca,162370515,NF,1234567890112134,04/11/21 05:55 PM,5125,Neteller1009,E,6
999rdca,162370269,NF,1234567890112130,04/11/21 05:48 PM,1997,MERCADO PAGO 4,E,7
999rdca,162370861,NF,1234567890112135,04/11/21 06:04 PM,725,YOUNG LIVING MEX,K,
999rdca,162371203,NF,1234567890112136,01/11/21 03:26 PM,198.99,VS TELCEL 018001200006,E,7
999rdca,162371203,NF,1234567890112137,04/11/21 06:13 PM,1,ST*STRIPE 2,E,7
999rdca,162371203,NF,1234567890112138,04/11/21 06:13 PM,24046.03,ST*III,K,0
999rdca,162371435,NF,1234567890112139,04/11/21 06:07 PM,701.08,MERCADO PAGO 1,E,7
999rdca,162371839,NF,1234567890112140,04/11/21 12:06 PM,800,UNID PEDIATRICA SANTA,V,0
999rdca,162371839,NF,1234567890112141,04/11/21 06:29 PM,1793,PAYPAL *ABASTEO,E,7
999rdca,162373089,NF,1234567890112142,04/11/21 07:07 PM,217,PAGO MI TELMEX,E,6
999rdca,162373097,NF,1234567890112155,04/11/21 07:07 PM,15989,MERCADO PAGO 4,E,7
999rdca,162373283,NF,1234567890112158,04/11/21 07:00 PM,0,UBER TECHNOLOGIES INC,E,7
999rdca,162373271,NF,1234567890112134,04/11/21 07:11 PM,20,AMAZON MX,E,7
999rdca,162373271,NF,1234567890112130,04/11/21 07:15 PM,1147.12,AMAZON MX,E,7
999rdca,162373359,NF,1234567890112135,04/11/21 07:14 PM,20,GOOGLE *TEMPORARY HOLD,E,7
999rdca,162373359,NF,1234567890112136,04/11/21 07:14 PM,0,FACEBK *ADS,E,7
999rdca,162373359,NF,1234567890112137,04/11/21 07:14 PM,2000,FACEBK UN26X5XH92,E,7
999rdca,162373531,NF,1234567890112138,04/11/21 04:07 PM,1812.8,LOS ARBOLITOS LEON ALT,V,
999rdca,162373531,NF,1234567890112139,04/11/21 07:17 PM,6800,MERCADO PAGO 4,E,7
999rdca,162373413,NF,1234567890112140,04/11/21 07:15 PM,707.64,AMAZON MX MARKETPLACE,E,7
999rdca,162373445,NF,1234567890112141,04/11/21 07:10 PM,1000,PASE MULTIPAGOS CR,E,6
999rdca,162373959,NF,1234567890112142,01/11/21 04:19 PM,190.9,SERV ECOLOGICO CHICOLO,V,0
999rdca,162373959,NF,1234567890112155,04/11/21 09:40 AM,391.8,GASOL EULEIRO EMIL ZA,V,
999rdca,162373959,NF,1234567890112158,04/11/21 12:26 PM,800,SERVICIO ELVER,V,
999rdca,162373959,NF,1234567890112134,04/11/21 07:25 PM,5,POINTMP*DONGATO,V,0
999rdca,162374639,NF,1234567890112130,04/11/21 07:49 PM,1495,MASSIMO DUTI INTERLOMA,V,
999rdca,162374641,NF,1234567890112135,04/11/21 07:49 PM,1,EAGLE CARS,V,
999rdca,162374709,NF,1234567890112136,04/11/21 07:51 PM,399.94,MERCADO PAGO 4,E,7
999rdca,162374737,NF,1234567890112137,01/11/21 05:13 PM,20,ST*CORNERSHOP,K,0
999rdca,162374737,NF,1234567890112138,01/11/21 05:48 PM,20,ST*CORNERSHOP,K,0
